Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
2018012169,11/18/18,Assault,FIGHT IN PROGRE,E CHICAGO AV/S WASHINGTON ST,Naperville  ,IL,41.771508,-88.147987
2018008368,8/7/18,Assault,DOMESTIC  PHYSI,RAYMOND DR,Naperville  ,IL,41.793791,-88.187357
2018004773,5/10/18,Assault,SUBJECT WITH A,E BENTON AV,Naperville  ,IL,41.775062,-88.146373
2018005211,5/21/18,Assault,UNKNOWN PROBLEM,WATERLEAF CT,Naperville  ,IL,41.725213,-88.204977
2018000187,1/6/18,Assault,DISORDERLY COND,NAPERVILLE WHEATON RD,Naperville  ,IL,41.795831,-88.122253
2018011772,11/7/18,Assault,BATTERY  COLD,95TH ST,Naperville  ,IL,41.709924,-88.191836
2018008644,8/16/18,Assault,ROBBERY IN PROG,FOXCROFT RD,Naperville  ,IL,41.733156,-88.136171
2018010387,10/1/18,Assault,DOMESTIC  PHYSI,ALANDALE CR,Naperville  ,IL,41.711398,-88.185855
2018010059,9/22/18,Assault,SUSPICIOUS VEH,S WASHINGTON ST/JACKSON AV,Naperville  ,IL,41.771855,-88.147916
2018007018,7/3/18,Assault,DOMESTIC  PHYSI,REDPOLL CT,Naperville  ,IL,41.739889,-88.130943
2018003047,3/24/18,Assault,FIGHT IN PROGRE,OLYMPUS DR,Naperville  ,IL,41.753584,-88.139255
2018005254,5/21/18,Assault,BATTERY IN PROG,E BENTON AV/N BRAINARD ST,Naperville  ,IL,41.774999,-88.143686
2018001888,2/20/18,Assault,DOMESTIC  PHYSI,DAKOTA CR,Naperville  ,IL,41.800344,-88.133996
2018003165,3/28/18,Assault,DOMESTIC  PHYSI,MECAN DR,Naperville  ,IL,41.725365,-88.176679
2018013254,12/19/18,Assault,DOMESTIC DELAYE,ENCINA DR/S WHISPERING HILLS DR,Naperville  ,IL,41.772694,-88.182081
2018006041,6/9/18,Assault,SUICIDE THREATS,CONTINENTAL AV,Naperville  ,IL,41.780422,-88.210492
2018003263,3/31/18,Assault,THEFT,AURORA AV,Naperville  ,IL,41.763224,-88.196329
2018005968,6/7/18,Assault,DOMESTIC  PHYSI,RUTLAND CR,Naperville  ,IL,41.723408,-88.204649
2018001026,1/27/18,Assault,FIGHT IN PROGRE,W OGDEN AV,Naperville  ,IL,41.754667,-88.201931
2018001707,2/15/18,Assault,DOMESTIC  PHYSI,ONEIDA LN,Naperville  ,IL,41.785522,-88.223876
2018000462,1/13/18,Assault,RUNAWAY JUVENIL,FULHAM DR,Naperville  ,IL,41.728416,-88.203152
2018008166,8/2/18,Assault,FIGHT IN PROGRE,S NAPER BL,Naperville  ,IL,41.749065,-88.115066
2018010862,10/15/18,Assault,BATTERY  COLD,95TH ST,,IL,41.709924,-88.191836
2018013307,12/20/18,Assault,BATTERY IN PROG,E OGDEN AV,,IL,41.787294,-88.134836
2018011544,11/2/18,Assault,UNKNOWN PROBLEM,NAPERVILLE WHEATON RD,,IL,41.795831,-88.122253
2018009473,9/6/18,Assault,DISORDERLY COND,S WASHINGTON ST,,IL,41.760923,-88.148953
